alcaldia,sexo,poblacion,pob_3ymas,p_nacoe,P_vivoe,p_3ym_hli,p_3ym_hli_nhe,p_3ym_hli_he,p_afromex,t_nacoe,t_vivoe,t_3ym_hli,t_3ym_hli_nhe,t_3ym_hli_he,t_afromex
AZCAPOTZALCO,Mujer,227255,221370,44454,10573,1708,15,1678,4503,19.561285780290863,4.652482893665706,0.7715589284907621,0.006775985905949315,0.7580069566788634,1.981474555015291
COYOACAN,Mujer,325337,318019,63258,10652,4422,34,4367,5762,19.443838235429723,3.2741434266621994,1.3904829585653689,0.010691185117870317,1.373188394404108,1.771086596360082
CUAJIMALPA DE MORELOS,Mujer,113537,109545,19039,4532,1186,3,1160,1524,16.76898279855906,3.9916502990214644,1.0826600940252864,0.002738600575106121,1.0589255557077,1.3422937016126901
GUSTAVO A. MADERO,Mujer,609477,592051,119942,19957,7445,70,7330,10949,19.67949569877124,3.2744467797800407,1.257493020026991,0.011823305762510325,1.2380690177028668,1.7964582748815787
IZTACALCO,Mujer,212343,206622,37862,7866,2287,25,2248,3502,17.830585420757924,3.704383944843955,1.1068521261046742,0.012099389222832033,1.0879770789170562,1.6492184814192135
IZTAPALAPA,Mujer,947835,919066,195863,22023,14760,183,14488,16801,20.664250634340362,2.323505673455823,1.605978243129438,0.01991151886806823,1.5763829801124185,1.772565900183049
LA MAGDALENA CONTRERAS,Mujer,129335,125675,21033,2519,1664,25,1624,2777,16.262419298720378,1.9476553137201842,1.3240501293017704,0.019892580067634773,1.2922220011935548,2.1471372791587737
MILPA ALTA,Mujer,78314,75344,11892,1334,2432,18,2404,1112,15.185024388998137,1.7033991368082333,3.227861541728605,0.023890422595030793,3.190698662136335,1.419924917639247
ALVARO OBREGON,Mujer,398130,387144,70912,11116,4969,57,4870,8249,17.81126767638711,2.7920528470600057,1.2835017461203067,0.014723203769140164,1.257929865889695,2.071936302212845
TLAHUAC,Mujer,202123,195452,36620,4614,2541,24,2510,3663,18.1176808181157,2.282768413292896,1.3000634426866953,0.01227922968299122,1.2842027710128319,1.8122628300589245
TLALPAN,Mujer,365051,355501,75592,10749,6417,60,6321,6262,20.70724364540845,2.9445200807558396,1.8050582136196522,0.016877589655162714,1.778054070171392,1.715376755576618
XOCHIMILCO,Mujer,226726,219824,40754,4251,5422,60,5340,4856,17.975000661591526,1.8749503806356573,2.4665186694810397,0.027294562923065722,2.4292161001528494,2.141792295546166
BENITO JUAREZ,Mujer,232032,227435,49827,13919,2134,8,2119,6351,21.474193214729002,5.998741552889256,0.9382900608965199,0.003517488513201574,0.9316947699342669,2.737122465866777
CUAUHTEMOC,Mujer,284933,277605,60987,14236,4747,51,4655,7540,21.403979181070635,4.99626227920248,1.709983609805299,0.018371427027611173,1.676842996343726,2.6462361327048813
MIGUEL HIDALGO,Mujer,219003,210660,46969,14647,2217,15,2184,5803,21.44673817253645,6.688036236946527,1.0524067217317004,0.007120478496154942,1.0367416690401594,2.6497353917526243
VENUSTIANO CARRANZA,Mujer,233586,227141,39706,7719,2571,26,2520,5351,16.998450249586877,3.304564485885284,1.1318960469488115,0.011446634469338428,1.1094430331820324,2.2908050996206963
